Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2014-01-29,0.0,0.4,0.0,0.0,0.0,0.0,1.2,2.7,5.7,2.2,0.4,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,1.9,0.0,0.0,1.6,0.0,0.0,0.0,40.4,0.0,2.2,6.5,0.0,0.0,0.0,2.7,0.0,0.9,41.5,0.0,0.0,0.8
2014-01-30,0.0,0.0,0.0,0.0,3.1,5.8,0.0,0.0,19.3,0.0,0.7,0.4,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2,4.5,0.0,0.3,6.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,2.5,0.0,0.0,12.9,0.0,0.0,12.8,0.0,4.0,0.9
2014-01-31,0.0,0.0,0.3,1.2,1.1,8.4,0.0,0.0,10.1,0.0,0.3,0.0,2.2,1.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,9.1,0.0,0.0,0.0
2014-02-01,0.0,0.0,1.2,6.5,0.0,4.3,0.4,0.0,1.6,0.5,4.6,0.0,12.4,14.5,3.4,3.0,0.0,0.0,0.9,0.0,1.3,8.0,0.1,0.0,8.7,0.2,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,4.7,0.0,0.0,0.0,0.7,1.1,0.0,0.0,5.2,0.4,2.4,0.0,1.1,0.0,0.9,0.0
2014-02-02,7.9,0.0,0.0,30.7,1.8,0.0,0.0,0.2,0.0,0.0,4.7,0.0,1.0,4.3,0.0,0.0,17.3,31.0,3.1,0.0,0.3,0.0,0.0,44.6,1.1,0.0,0.0,0.0,0.7,0.0,0.0,0.9,0.0,0.0,7.8,6.5,2.0,1.5,0.0,0.0,0.0,17.3,3.8,0.0,0.9,0.0,0.0,8.5,0.0,0.0
2014-02-03,14.1,1.7,0.0,0.0,0.2,0.0,16.7,30.2,0.1,1.8,3.5,2.9,0.0,0.0,0.0,0.0,16.2,3.1,0.0,32.2,9.2,0.0,0.0,9.9,0.0,4.5,0.1,0.4,0.5,33.6,1.2,3.1,8.1,0.0,0.0,0.0,5.8,20.7,15.5,0.0,0.0,11.1,0.0,0.0,0.0,25.9,0.0,27.1,0.0,0.0
2014-02-04,0.9,0.8,0.0,22.2,0.0,1.3,0.0,0.0,0.0,3.1,11.2,0.0,8.2,13.5,3.5,18.7,17.8,24.8,0.0,0.0,0.0,0.1,0.0,23.6,7.8,0.7,4.0,0.0,0.0,0.0,1.7,0.0,3.7,0.0,4.4,5.6,3.6,0.0,0.0,1.6,0.1,18.7,4.1,3.4,0.0,0.6,0.0,3.4,0.0,2.0
2014-02-05,16.5,0.0,0.1,0.0,0.0,0.3,25.3,17.2,0.5,5.6,1.9,0.0,7.9,8.5,3.3,0.5,15.8,0.0,11.2,16.6,26.1,6.8,0.0,2.6,2.2,0.0,1.1,0.0,24.2,24.9,1.1,27.3,5.0,0.0,18.4,0.0,0.2,21.9,22.0,1.1,0.0,21.2,0.0,0.0,19.5,9.0,0.0,19.0,0.0,0.0
2014-02-06,0.4,0.0,0.0,0.0,8.8,0.0,0.1,0.0,0.7,0.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,10.7,0.0,0.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.2
2014-02-07,0.0,0.3,1.3,1.5,0.1,0.0,0.0,0.0,0.5,0.0,0.7,2.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.5,0.0,0.0,0.0,2.2,0.0,0.0,1.9,0.0,0.0,0.0
